"ITEX_name","GBIF_name","SCIENTIFIC_NAME","AUTHOR","STATUS","FAMILY","ACCEPTED_SPECIES","ACCEPTED_AUTHOR","n_sci","one_is_acc","all_unresolved","just_one_syn","one_is_un","non_vasc_typo","SPECIES_NAME","n_occ","N_all","N_bor_tund","N_tund"
"Cardamine digitata","Cardamine digitata","Cardamine digitata","(Lam.) O.E.Schulz","Synonym","Brassicaceae","Cardamine pentaphyllos","(L.) Crantz",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Cardamine digitata",842,403,386,278
"Cardamine digitata","Cardamine digitata","Cardamine hyperborea","O.E.Schulz","Synonym","Brassicaceae","Cardamine digitata","Richardson",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Cardamine digitata",842,403,386,278
"Cardamine pratensis","Cardamine pratensis","Cardamine pratensis","L.","Accepted","Brassicaceae","Cardamine pratensis","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Cardamine pratensis",626269,4387,2,2
"Cardamine pratensis subsp. polemonioides","Cardamine pratensis subsp. polemonioides","Cardamine nymanii","Gand.","Synonym","Brassicaceae","Cardamine pratensis subsp. polemonioides","Rouy",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Cardamine pratensis subsp. polemonioides",47,NA,NA,NA
"Carex albonigra","Carex albonigra","Carex albonigra","Mack.","Accepted","Cyperaceae","Carex albonigra","Mack.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex albonigra",698,535,490,344
"Carex aquatilis","Carex aquatilis","Carex aquatilis","Wahlenb.","Accepted","Cyperaceae","Carex aquatilis","Wahlenb.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex aquatilis",39074,7368,4363,696
"Carex aquatilis","Carex aquatilis","Carex aquatilis","Ten.","Synonym","Cyperaceae","Carex microcarpa","Bertol. ex Moris",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex aquatilis",39074,7368,4363,696
"Carex aquatilis var. minor","Carex aquatilis var. minor","Carex aquatilis var. minor","Boott","Accepted","Cyperaceae","Carex aquatilis var. minor","Boott",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex aquatilis var. minor",2807,1388,1353,950
"Carex atrata","Carex atrata","Carex atrata","L.","Accepted","Cyperaceae","Carex atrata","L.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex atrata",19409,5481,4680,2576
"Carex atrata","Carex atrata","Carex atrata","Banks ex Boott","Synonym","Cyperaceae","Carex banksii","Boott",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex atrata",19409,5481,4680,2576
"Carex atrofusca","Carex atrofusca","Carex atrofusca","Schkuhr","Accepted","Cyperaceae","Carex atrofusca","Schkuhr",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex atrofusca",9768,5181,4859,2631
"Carex atrofusca","Carex atrofusca","Carex atrofusca","Steven","Synonym","Cyperaceae","Carex atrata","L.",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex atrofusca",9768,5181,4859,2631
"Carex atrofusca","Carex atrofusca","Carex atrofusca","Willd. ex Steud.","Synonym","Cyperaceae","Carex pichinchensis","Kunth",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex atrofusca",9768,5181,4859,2631
"Carex bigelowii","Carex bigelowii","Carex bigelowii","Torr. ex Schwein.","Accepted","Cyperaceae","Carex bigelowii","Torr. ex Schwein.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex bigelowii",36736,5775,5087,2906
"Carex bigelowii subsp. arctisibirica","Carex bigelowii subsp. arctisibirica","Carex bigelowii subsp. arctisibirica","(Jurtzev) Á.Löve & D.Löve","Accepted","Cyperaceae","Carex bigelowii subsp. arctisibirica","(Jurtzev) Á.Löve & D.Löve",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex bigelowii subsp. arctisibirica",523,202,183,141
"Carex brunnescens","Carex brunnescens","Carex brunnescens","(Pers.) Poir.","Accepted","Cyperaceae","Carex brunnescens","(Pers.) Poir.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex brunnescens",47738,8127,4131,751
"Carex canescens","Carex canescens","Carex canescens","L.","Accepted","Cyperaceae","Carex canescens","L.",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex canescens",163951,6561,1387,271
"Carex canescens","Carex canescens","Carex canescens","Huds.","Synonym","Cyperaceae","Carex divulsa","Stokes",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex canescens",163951,6561,1387,271
"Carex canescens","Carex canescens","Carex canescens","Leers","Synonym","Cyperaceae","Carex leersii","F.W.Schultz",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex canescens",163951,6561,1387,271
"Carex capillaris","Carex capillaris","Carex capillaris","L.","Accepted","Cyperaceae","Carex capillaris","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex capillaris",41363,5911,4338,1735
"Carex capitata","Carex capitata","Carex capitata","Sol.","Accepted","Cyperaceae","Carex capitata","Sol.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex capitata",1691,921,774,208
"Carex chalciolepis","Carex chalciolepis","Carex chalciolepis","Holm","Accepted","Cyperaceae","Carex chalciolepis","Holm",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex chalciolepis",676,465,443,275
"Carex chordorrhiza","Carex chordorrhiza","Carex chordorrhiza","L.f.","Accepted","Cyperaceae","Carex chordorrhiza","L.f.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex chordorrhiza",41215,5977,3336,149
"Carex curvula","Carex curvula","Carex curvula","All.","Accepted","Cyperaceae","Carex curvula","All.",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex curvula",22082,2106,1916,1661
"Carex curvula","Carex curvula","Carex curvula","Willd. ex Kunth","Synonym","Cyperaceae","Carex davalliana","Sm.",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex curvula",22082,2106,1916,1661
"Carex curvula","Carex curvula","Carex curvula","Lam.","Synonym","Cyperaceae","Carex praecox","Schreb.",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex curvula",22082,2106,1916,1661
"Carex dioica","Carex dioica","Carex dioica","L.","Accepted","Cyperaceae","Carex dioica","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex dioica",58380,7246,2984,506
"Carex eleusinoides","Carex eleusinoides","Carex eleusinoides","Turcz. ex Kunth","Accepted","Cyperaceae","Carex eleusinoides","Turcz. ex Kunth",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex eleusinoides",1024,437,411,114
"Carex elynoides","Carex elynoides","Carex elynoides","Holm","Accepted","Cyperaceae","Carex elynoides","Holm",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex elynoides",602,457,418,232
"Carex flacca","Carex flacca","Carex flacca","Schreb.","Accepted","Cyperaceae","Carex flacca","Schreb.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex flacca",544476,4728,186,121
"Carex flavocuspis","Carex flavocuspis","Carex flavocuspis","Franch. & Sav.","Accepted","Cyperaceae","Carex flavocuspis","Franch. & Sav.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex flavocuspis",307,131,65,25
"Carex fuliginosa","Carex fuliginosa","Carex fuliginosa","Schkuhr","Accepted","Cyperaceae","Carex fuliginosa","Schkuhr",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex fuliginosa",5993,2727,2656,2365
"Carex fuliginosa","Carex fuliginosa","Carex fuliginosa","Host","Synonym","Cyperaceae","Carex fimbriata","Schkuhr",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex fuliginosa",5993,2727,2656,2365
"Carex fuliginosa","Carex fuliginosa","Carex misandra","R.Br.","Synonym","Cyperaceae","Carex fuliginosa","Schkuhr",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Carex fuliginosa",5993,2727,2656,2365
"Carex glacialis","Carex glacialis","Carex glacialis","Mack.","Accepted","Cyperaceae","Carex glacialis","Mack.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex glacialis",5626,3133,2844,1278
"Carex gynocrates","Carex gynocrates","Carex gynocrates","Wormsk.","Accepted","Cyperaceae","Carex gynocrates","Wormsk.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex gynocrates",807,378,219,64
"Carex haydeniana","Carex haydeniana","Carex haydeniana","Olney","Accepted","Cyperaceae","Carex haydeniana","Olney",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex haydeniana",610,457,407,213
"Carex heteroneura","Carex heteroneura","Carex heteroneura","S.Watson","Accepted","Cyperaceae","Carex heteroneura","S.Watson",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex heteroneura",544,374,245,55
"Carex krausei","Carex krausei","Carex krausei","Boeckeler","Accepted","Cyperaceae","Carex krausei","Boeckeler",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex krausei",742,557,437,202
"Carex lachenalii","Carex lachenalii","Carex lachenalii","Schkuhr","Accepted","Cyperaceae","Carex lachenalii","Schkuhr",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex lachenalii",16161,6253,5590,4021
"Carex limosa","Carex limosa","Carex limosa","L.","Accepted","Cyperaceae","Carex limosa","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex limosa",77784,6686,2142,172
"Carex lyngbyei","Carex lyngbyei","Carex lyngbyei","Hornem.","Accepted","Cyperaceae","Carex lyngbyei","Hornem.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex lyngbyei",3169,1818,1061,540
"Carex magellanica","Carex magellanica","Carex magellanica","Lam.","Accepted","Cyperaceae","Carex magellanica","Lam.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex magellanica",54479,7573,3953,436
"Carex magellanica","Carex magellanica","Carex magellanica","Banks ex Boott","Synonym","Cyperaceae","Carex banksii","Boott",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex magellanica",54479,7573,3953,436
"Carex marina","Carex marina","Carex amblyorhyncha","V.I.Krecz.","Synonym","Cyperaceae","Carex marina","Dewey",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Carex marina",761,443,420,336
"Carex marina","Carex marina","Carex marina","Dewey","Accepted","Cyperaceae","Carex marina","Dewey",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex marina",761,443,420,336
"Carex maritima","Carex maritima","Carex maritima","Gunnerus","Accepted","Cyperaceae","Carex maritima","Gunnerus",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex maritima",10129,3831,2540,1361
"Carex maritima","Carex maritima","Carex maritima","O.F.Müll.","Synonym","Cyperaceae","Carex paleacea","Schreb. ex Wahlenb.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex maritima",10129,3831,2540,1361
"Carex membranacea","Carex membranacea","Carex membranacea","Hook.","Accepted","Cyperaceae","Carex membranacea","Hook.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex membranacea",1752,983,949,711
"Carex membranacea","Carex membranacea","Carex membranacea","Hoppe","Synonym","Cyperaceae","Carex ericetorum","Pollich",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex membranacea",1752,983,949,711
"Carex microchaeta","Carex microchaeta","Carex microchaeta","Holm","Accepted","Cyperaceae","Carex microchaeta","Holm",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex microchaeta",975,567,554,424
"Carex microglochin","Carex microglochin","Carex microglochin","Wahlenb.","Accepted","Cyperaceae","Carex microglochin","Wahlenb.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex microglochin",7505,3379,3084,1439
"Carex nardina","Carex nardina","Carex nardina","(Hornem.) Fr.","Accepted","Cyperaceae","Carex nardina","(Hornem.) Fr.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex nardina",4806,2588,2188,1679
"Carex nelsonii","Carex nelsonii","Carex nelsonii","Mack.","Accepted","Cyperaceae","Carex nelsonii","Mack.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex nelsonii",130,110,108,90
"Carex nigra","Carex nigra","Carex nigra","(L.) Reichard","Accepted","Cyperaceae","Carex nigra","(L.) Reichard",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex nigra",545676,4688,652,180
"Carex nigra","Carex nigra","Carex nigra","Schkuhr","Synonym","Cyperaceae","Carex atrata subsp. aterrima","(Hoppe) Hartm.",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex nigra",545676,4688,652,180
"Carex nigra","Carex nigra","Carex nigra","All.","Synonym","Cyperaceae","Carex parviflora","Host",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex nigra",545676,4688,652,180
"Carex nigricans","Carex nigricans","Carex nigricans","C.A.Mey.","Accepted","Cyperaceae","Carex nigricans","C.A.Mey.",4,TRUE,FALSE,FALSE,TRUE,FALSE,"Carex nigricans",1281,916,783,385
"Carex nigricans","Carex nigricans","Carex nigricans","Kit.","Unresolved","Cyperaceae","Carex nigricans","Kit.",4,TRUE,FALSE,FALSE,TRUE,FALSE,"Carex nigricans",1281,916,783,385
"Carex nigricans","Carex nigricans","Carex nigricans","Hombr. ex Boott","Synonym","Cyperaceae","Carex darwinii","Boott",4,TRUE,FALSE,FALSE,TRUE,FALSE,"Carex nigricans",1281,916,783,385
"Carex nigricans","Carex nigricans","Carex nigricans","Dewey","Synonym","Cyperaceae","Carex dioica","L.",4,TRUE,FALSE,FALSE,TRUE,FALSE,"Carex nigricans",1281,916,783,385
"Carex nodaeana","Carex nodaeana","Carex nodaeana","A.I.Baranov & Skvortsov","Accepted","Cyperaceae","Carex nodaeana","A.I.Baranov & Skvortsov",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex nodaeana",40,NA,NA,NA
"Carex norvegica","Carex norvegica","Carex norvegica","Retz.","Accepted","Cyperaceae","Carex norvegica","Retz.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex norvegica",9013,6459,5686,2415
"Carex norvegica","Carex norvegica","Carex norvegica","Willd. ex Schkuhr","Synonym","Cyperaceae","Carex mackenziei","V.I.Krecz.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex norvegica",9013,6459,5686,2415
"Carex obtusata","Carex obtusata","Carex obtusata","Lilj.","Accepted","Cyperaceae","Carex obtusata","Lilj.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex obtusata",2650,1045,499,174
"Carex oreophila","Carex oreophila","Carex oreophila","C.A.Mey.","Accepted","Cyperaceae","Carex oreophila","C.A.Mey.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex oreophila",98,NA,NA,NA
"Carex panicea","Carex panicea","Carex panicea","L.","Accepted","Cyperaceae","Carex panicea","L.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex panicea",374381,4376,478,125
"Carex panicea","Carex panicea","Carex panicea","J.Carey","Synonym","Cyperaceae","Carex meadii","Dewey",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex panicea",374381,4376,478,125
"Carex parallela","Carex parallela","Carex parallela","(Laest.) Sommerf.","Accepted","Cyperaceae","Carex parallela","(Laest.) Sommerf.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex parallela",3354,1852,1780,1118
"Carex parryana","Carex parryana","Carex parryana","Dewey","Accepted","Cyperaceae","Carex parryana","Dewey",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex parryana",239,171,59,13
"Carex parviflora","Carex parviflora","Carex parviflora","Host","Accepted","Cyperaceae","Carex parviflora","Host",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex parviflora",11723,2397,1953,1606
"Carex parviflora","Carex parviflora","Carex parviflora","Gaudin","Synonym","Cyperaceae","Carex lachenalii","Schkuhr",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex parviflora",11723,2397,1953,1606
"Carex parviflora","Carex parviflora","Carex parviflora","C.A.Mey. ex Kunth","Synonym","Cyperaceae","Carex microglochin subsp. fuegina","Kük.",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex parviflora",11723,2397,1953,1606
"Carex perglobosa","Carex perglobosa","Carex perglobosa","Mack.","Accepted","Cyperaceae","Carex perglobosa","Mack.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex perglobosa",140,NA,NA,NA
"Carex phaeocephala","Carex phaeocephala","Carex phaeocephala","Piper","Accepted","Cyperaceae","Carex phaeocephala","Piper",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex phaeocephala",1744,1201,1032,529
"Carex pilulifera","Carex pilulifera","Carex pilulifera","L.","Accepted","Cyperaceae","Carex pilulifera","L.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex pilulifera",269835,5453,161,29
"Carex pilulifera","Carex pilulifera","Carex pilulifera","Geners. ex Boott","Synonym","Cyperaceae","Carex praecox","Schreb.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex pilulifera",269835,5453,161,29
"Carex pyrenaica","Carex pyrenaica","Carex pyrenaica","Wahlenb.","Accepted","Cyperaceae","Carex pyrenaica","Wahlenb.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex pyrenaica",2428,957,759,398
"Carex pyrenaica","Carex pyrenaica","Carex pyrenaica","F.Muell.","Synonym","Cyperaceae","Carex acicularis","Boott",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex pyrenaica",2428,957,759,398
"Carex rariflora","Carex rariflora","Carex rariflora","(Wahlenb.) Sm.","Accepted","Cyperaceae","Carex rariflora","(Wahlenb.) Sm.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex rariflora",9395,5675,4925,2038
"Carex rossii","Carex rossii","Carex brevipes","S.Watson","Synonym","Cyperaceae","Carex rossii","Boott",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Carex rossii",2704,1972,765,163
"Carex rostrata","Carex rostrata","Carex rostrata","Stokes","Accepted","Cyperaceae","Carex rostrata","Stokes",4,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex rostrata",339980,5709,1069,146
"Carex rostrata","Carex rostrata","Carex rostrata","Muhl. ex Willd.","Synonym","Cyperaceae","Carex lurida","Wahlenb.",4,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex rostrata",339980,5709,1069,146
"Carex rostrata","Carex rostrata","Carex rostrata","Michx.","Synonym","Cyperaceae","Carex michauxiana","Boeckeler",4,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex rostrata",339980,5709,1069,146
"Carex rostrata","Carex rostrata","Carex rostrata","Hoppe ex Schkuhr","Synonym","Cyperaceae","Carex michelii","Host",4,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex rostrata",339980,5709,1069,146
"Carex rotundata","Carex rotundata","Carex rotundata","Wahlenb.","Accepted","Cyperaceae","Carex rotundata","Wahlenb.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex rotundata",9928,7048,6900,1179
"Carex rupestris","Carex rupestris","Carex rupestris","All.","Accepted","Cyperaceae","Carex rupestris","All.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex rupestris",16727,4311,3738,2299
"Carex rupestris","Carex rupestris","Carex rupestris","Turcz. ex Ledeb.","Synonym","Cyperaceae","Carex argunensis","Turcz. ex Ledeb.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex rupestris",16727,4311,3738,2299
"Carex saxatilis","Carex saxatilis","Carex saxatilis","L.","Accepted","Cyperaceae","Carex saxatilis","L.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex saxatilis",14882,7063,6480,3302
"Carex saxatilis","Carex saxatilis","Carex saxatilis","Huds.","Synonym","Cyperaceae","Carex caryophyllea","Latourr.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex saxatilis",14882,7063,6480,3302
"Carex scirpoidea","Carex scirpoidea","Carex scirpoidea","Michx.","Accepted","Cyperaceae","Carex scirpoidea","Michx.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex scirpoidea",4988,2461,1863,1145
"Carex scopulorum","Carex scopulorum","Carex scopulorum","Holm","Accepted","Cyperaceae","Carex scopulorum","Holm",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex scopulorum",2112,1260,942,321
"Carex sempervirens","Carex sempervirens","Carex sempervirens","Vill.","Accepted","Cyperaceae","Carex sempervirens","Vill.",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex sempervirens",96127,2417,1517,1066
"Carex sempervirens","Carex sempervirens","Carex sempervirens","Schwein.","Synonym","Cyperaceae","Carex glaucescens","Elliott",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex sempervirens",96127,2417,1517,1066
"Carex sempervirens","Carex sempervirens","Carex sempervirens","Elliott ex Kunth","Synonym","Cyperaceae","Carex stricta","Lam.",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex sempervirens",96127,2417,1517,1066
"Carex siroumensis","Carex siroumensis","Carex siroumensis","Koidz.","Accepted","Cyperaceae","Carex siroumensis","Koidz.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex siroumensis",33,NA,NA,NA
"Carex stenantha","Carex stenantha","Carex stenantha","Franch. & Sav.","Accepted","Cyperaceae","Carex stenantha","Franch. & Sav.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex stenantha",452,193,128,56
"Carex stenantha","Carex stenantha","Carex stenantha","C.B. Clarke","Synonym","Cyperaceae","Carex bostrychostigma","Maxim.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex stenantha",452,193,128,56
"Carex subspathacea","Carex subspathacea","Carex subspathacea","Wormsk. ex Hornem.","Accepted","Cyperaceae","Carex subspathacea","Wormsk. ex Hornem.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex subspathacea",1988,948,751,362
"Carex supina","Carex supina","Carex supina","Willd. ex Wahlenb.","Accepted","Cyperaceae","Carex supina","Willd. ex Wahlenb.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex supina",2871,1388,398,172
"Carex umbrosa","Carex umbrosa","Carex umbrosa","Host","Accepted","Cyperaceae","Carex umbrosa","Host",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex umbrosa",21185,5037,475,62
"Carex ursina","Carex ursina","Carex ursina","Dewey","Accepted","Cyperaceae","Carex ursina","Dewey",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex ursina",610,316,315,313
"Carex vaginata","Carex vaginata","Carex vaginata","Tausch","Accepted","Cyperaceae","Carex vaginata","Tausch",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex vaginata",65813,7828,4050,843
"Carex vesicaria","Carex vesicaria","Carex vesicaria","L.","Accepted","Cyperaceae","Carex vesicaria","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex vesicaria",135128,6735,336,15
"Carex williamsii","Carex williamsii","Carex williamsii","Britton","Accepted","Cyperaceae","Carex williamsii","Britton",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex williamsii",638,346,330,166
"Carum caucasicum","Carum caucasicum","Carum caucasicum","(M.Bieb.) Boiss.","Accepted","Apiaceae","Carum caucasicum","(M.Bieb.) Boiss.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carum caucasicum",156,NA,NA,NA
"Carum meifolium","Carum meifolium","Carum meifolium","Boiss.","Accepted","Apiaceae","Carum meifolium","Boiss.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carum meifolium",106,NA,NA,NA
"Cassiope stelleriana","Cassiope stelleriana","Harrimanella stelleriana","Coville","Synonym","Ericaceae","Cassiope stelleriana","(Pall.) DC.",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Cassiope stelleriana",60,NA,NA,NA
"Cassiope tetragona","Cassiope tetragona","Cassiope tetragona","(L.) D.Don","Accepted","Ericaceae","Cassiope tetragona","(L.) D.Don",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Cassiope tetragona",10864,5070,4994,4122
"Castilleja occidentalis","Castilleja occidentalis","Castilleja occidentalis","Torr.","Accepted","Orobanchaceae","Castilleja occidentalis","Torr.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Castilleja occidentalis",1643,998,954,720
"Catoscopium nigritum","Catoscopium nigritum","Catoscopium nigritum","(Hedw.) Brid.","Accepted","Catoscopiaceae","Catoscopium nigritum","(Hedw.) Brid.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Catoscopium nigritum",4570,2221,1457,671
"Celmisia pugioniformis","Celmisia pugioniformis","Celmisia pugioniformis","M.Gray & Given","Accepted","Compositae","Celmisia pugioniformis","M.Gray & Given",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Celmisia pugioniformis",784,337,120,6
"Cephaloziella arctica","Cephaloziella arctica","Cephaloziella arctica","Bryhn & Douin","Accepted","Cephaloziellaceae","Cephaloziella arctica","Bryhn & Douin",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Cephaloziella arctica",211,NA,NA,NA
"Cerastium alpinum","Cerastium alpinum","Cerastium alpinum","L.","Accepted","Caryophyllaceae","Cerastium alpinum","L.",4,TRUE,FALSE,FALSE,FALSE,FALSE,"Cerastium alpinum",29359,5924,5197,2862
"Cerastium alpinum","Cerastium alpinum","Cerastium alpinum","All.","Synonym","Caryophyllaceae","Cerastium arvense","L.",4,TRUE,FALSE,FALSE,FALSE,FALSE,"Cerastium alpinum",29359,5924,5197,2862
"Cerastium alpinum","Cerastium alpinum","Cerastium alpinum","Bunge","Synonym","Caryophyllaceae","Cerastium glomeratum","Thuill.",4,TRUE,FALSE,FALSE,FALSE,FALSE,"Cerastium alpinum",29359,5924,5197,2862
"Cerastium alpinum","Cerastium alpinum","Cerastium alpinum","M.Bieb.","Synonym","Caryophyllaceae","Cerastium ovatum","Hoppe ex Willd.",4,TRUE,FALSE,FALSE,FALSE,FALSE,"Cerastium alpinum",29359,5924,5197,2862
"Cerastium arcticum","Cerastium arcticum","Cerastium arcticum","Lange","Accepted","Caryophyllaceae","Cerastium arcticum","Lange",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Cerastium arcticum",2962,1564,1543,1450
"Cerastium arvense","Cerastium arvense","Cerastium arvense","L.","Accepted","Caryophyllaceae","Cerastium arvense","L.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Cerastium arvense",183100,3708,225,93
"Cerastium arvense","Cerastium arvense","Cerastium arvense","Schltdl. & Cham.","Synonym","Caryophyllaceae","Cerastium orithales","Schltdl.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Cerastium arvense",183100,3708,225,93
"Cerastium beeringianum","Cerastium beeringianum","Cerastium beeringianum","Cham. & Schltdl.","Accepted","Caryophyllaceae","Cerastium beeringianum","Cham. & Schltdl.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Cerastium beeringianum",3101,1899,1769,1244
"Cerastium cerastoides","Cerastium cerastoides","Cerastium cerastoides","(L.) Britton","Accepted","Caryophyllaceae","Cerastium cerastoides","(L.) Britton",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Cerastium cerastoides",15192,5622,4810,3143
"Cerastium fontanum","Cerastium fontanum","Cerastium fontanum","Baumg.","Accepted","Caryophyllaceae","Cerastium fontanum","Baumg.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Cerastium fontanum",449092,5625,225,53
"Cerastium glabratum","Cerastium glabratum","Cerastium glabratum","Hartm.","Accepted","Caryophyllaceae","Cerastium glabratum","Hartm.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Cerastium glabratum",101,NA,NA,NA
"Cerastium glomeratum","Cerastium glomeratum","Cerastium glomeratum","Thuill.","Accepted","Caryophyllaceae","Cerastium glomeratum","Thuill.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Cerastium glomeratum",282080,4891,5,2
