"ITEX_name","GBIF_name","SCIENTIFIC_NAME","AUTHOR","STATUS","FAMILY","ACCEPTED_SPECIES","ACCEPTED_AUTHOR","n_sci","one_is_acc","all_unresolved","just_one_syn","one_is_un","non_vasc_typo","SPECIES_NAME","n_occ","N_all","N_bor_tund","N_tund"
"Potentilla erecta","Potentilla erecta","Potentilla erecta","(L.) Raeusch.","Accepted","Rosaceae","Potentilla erecta","(L.) Raeusch.",6,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla erecta",802113,6244,593,130
"Potentilla erecta","Potentilla erecta","Potentilla erecta","M.S.Uspensk. ex Ledeb.","Unresolved","Rosaceae","Potentilla erecta","M.S.Uspensk. ex Ledeb.",6,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla erecta",802113,6244,593,130
"Potentilla erecta","Potentilla erecta","Potentilla erecta","H.Karst.","Unresolved","Rosaceae","Potentilla erecta","H.Karst.",6,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla erecta",802113,6244,593,130
"Potentilla erecta","Potentilla erecta","Potentilla erecta","Maiden","Synonym","Rosaceae","Potentilla recta","L.",6,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla erecta",802113,6244,593,130
"Potentilla erecta","Potentilla erecta","Potentilla erecta","(L.) Hampe","Unresolved","Rosaceae","Potentilla erecta","(L.) Raeusch.",6,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla erecta",802113,6244,593,130
"Potentilla erecta","Potentilla erecta","Potentilla erecta","(L.) Mela","Unresolved","Rosaceae","Potentilla erecta","(L.) Raeusch.",6,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla erecta",802113,6244,593,130
"Potentilla hookeriana","Potentilla hookeriana","Potentilla hookeriana","Lehm.","Accepted","Rosaceae","Potentilla hookeriana","Lehm.",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Potentilla hookeriana",271,193,179,106
"Potentilla hookeriana","Potentilla hookeriana","Potentilla hookeriana","auct. Fl. Eur.,p.p.11252","Synonym","Rosaceae","Potentilla kuznetzowii","(Govor.) Juz.",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Potentilla hookeriana",271,193,179,106
"Potentilla hookeriana","Potentilla hookeriana","Potentilla hookeriana","auct. Fl. Eur.,p.p.3668","Synonym","Rosaceae","Potentilla arenosa","(Turcz.) Juz.",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Potentilla hookeriana",271,193,179,106
"Potentilla hyparctica","Potentilla hyparctica","Potentilla hyparctica","Malte","Accepted","Rosaceae","Potentilla hyparctica","Malte",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Potentilla hyparctica",2643,1364,1340,1234
"Potentilla matsumurae","Potentilla matsumurae","Potentilla matsumurae","Th.Wolf","Accepted","Rosaceae","Potentilla matsumurae","Th.Wolf",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Potentilla matsumurae",630,309,101,46
"Potentilla nivea","Potentilla nivea","Potentilla nivea","L.","Accepted","Rosaceae","Potentilla nivea","L.",3,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla nivea",5053,2394,2192,1493
"Potentilla nivea","Potentilla nivea","Potentilla nivea","Gunnerus","Unresolved","Rosaceae","Potentilla nivea","Gunnerus",3,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla nivea",5053,2394,2192,1493
"Potentilla nivea","Potentilla nivea","Potentilla nivea","G.Lodd.","Unresolved","Rosaceae","Potentilla nivea","G.Lodd.",3,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla nivea",5053,2394,2192,1493
"Potentilla pulchella","Potentilla pulchella","Potentilla pulchella","R.Br.","Accepted","Rosaceae","Potentilla pulchella","R.Br.",3,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla pulchella",1146,577,570,560
"Potentilla pulchella","Potentilla pulchella","Potentilla pulchella","Spreng.","Unresolved","Rosaceae","Potentilla pulchella","Spreng.",3,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla pulchella",1146,577,570,560
"Potentilla pulchella","Potentilla pulchella","Potentilla pulchella","W.E.Meehan","Unresolved","Rosaceae","Potentilla pulchella","W.E.Meehan",3,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla pulchella",1146,577,570,560
"Potentilla robbinsiana","Potentilla robbinsiana","Potentilla robbinsiana","(Lehm.) Oakes ex Rydb.","Accepted","Rosaceae","Potentilla robbinsiana","(Lehm.) Oakes ex Rydb.",2,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla robbinsiana",33,NA,NA,NA
"Potentilla robbinsiana","Potentilla robbinsiana","Potentilla robbinsiana","Oakes ex Torr. & A.Gray","Unresolved","Rosaceae","Potentilla robbinsiana","Oakes ex Torr. & A.Gray",2,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla robbinsiana",33,NA,NA,NA
"Potentilla rubricaulis","Potentilla rubricaulis","Potentilla rubricaulis","Lehm.","Accepted","Rosaceae","Potentilla rubricaulis","Lehm.",7,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla rubricaulis",420,249,226,131
"Potentilla rubricaulis","Potentilla rubricaulis","Potentilla rubricaulis","Rydb.","Unresolved","Rosaceae","Potentilla rubricaulis","Rydb.",7,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla rubricaulis",420,249,226,131
