"name","metric","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","cmi_max","cmi_mean","cmi_min","cmi_range","fgd","gdd0","gddlgd0","gdgfgd0","gsl","gsp","gst","ngd0","longitude","latitude"
"Aconitum delphiniifolium","optimum",-3.35,6.3,0.186,843.8,15.02,-21.19,32.2,8.24,-9.64,10.76,-17.32,656.4,119.6,19.2,41.4,309.2,79.6,276.2,92.4,42.1,8.9,-58.4,97,169,1082,277,119,101,-72.2,8.5,149,-149.457,60.788
"Aconitum septentrionale","mean",2.5,6.8,0.218,871.4,18.51,-12.79,31.3,11.05,-2.88,13.88,-8.53,973.6,124.9,44.9,33.4,342.1,150.3,308.6,213.8,79.9,30.9,-32.2,112.1,151,1946.3,303,96,148,197676.6,10.76,209,29.366,60.238
"Aconitum septentrionale","median",2.65000000000003,6.7,0.220000004768372,787,17.95,-11.7499999999999,29.2,12.45,-2.44999999999999,13.65,-7.54999999999995,856.8,113.6,39.2,30.8,310.1,129.9,299,156.4,62.2,23.45,-32.9,99.7,146,1939.1,302,95,155,451,10.55,208,14.62985,60.9424
"Aconitum septentrionale","Q05",-0.849999999999966,5.1,0.178999996185303,642.1,13.95,-21.75,24.2,-3.64999999999998,-13.35,10.05,-16.35,529.6,71.8,17.865,21.8,198.365,64.3,198.1,73.565,25,-12.5,-72.2,72.6,123,1208.13,287,76,93,313.53,7.85000000000002,173,7.993545,52.815135
"Aconitum septentrionale","Q95",5.35000000000002,9.2,0.257999992370606,1258.7,23.55,-7.34999999999997,43.1,17.7500000000001,7.15000000000003,17.85,-3.04999999999995,1900.36,230.435,92.4349999999999,50.6349999999999,637.175,308.2,448.5,588.1,205.3,106.27,9.93499999999995,206.6,198,2650.87,324,115,186,718.435,13.7500000000001,248,86.89302,65.97491
"Aconitum septentrionale","range",6.19999999999999,4.1,0.0789999961853028,616.6,9.59999999999997,14.4,18.9,21.4,20.5,7.80000000000001,13.3,1370.76,158.635,74.5699999999999,28.8349999999999,438.81,243.9,250.4,514.535,180.3,118.77,82.1349999999999,134,75,1442.74,37,39,93,404.905,5.90000000000003,75,78.899475,13.159775
"Aconitum septentrionale","optimum",2.8,6.7,0.23,760.8,16.17,-10.82,27.8,16.91,-2.38,13.28,-6.77,710.7,92.6,33,30.2,266.6,105.9,274.8,132.5,43.2,11.9,-32.3,93.9,127,1882.4,297,94,164,51.6,10.35,208,11.166,62.927
"Adoxa moschatellina","mean",8.15,7,0.282,674.5,21.71,-3.95,25.7,12.41,3.68,16.85,-0.43,875.4,101.6,48.1,23.5,284,162.3,256.8,197,58,6.3,-49.7,107.7,99,3227.2,297,70,294,752,11.01,319,15.159,51.711
"Adoxa moschatellina","median",8.85000000000002,7,0.296000003814697,612.7,22.05,-1.84999999999997,23.6,14.65,4.45000000000005,16.95,1.25000000000006,817.8,87.3,45.9,20.5,246.9,160.2,230.9,192.7,50.6,0.9,-52,103.4,106,3282,321,72,330,749.8,10.55,365,9.3686,51.5575
"Adoxa moschatellina","Q05",1.95000000000005,4.6,0.188999998569489,416.38,17.95,-16.47,17.2,3.35000000000002,-9.04999999999995,14.09,-11.65,553.7,67.74,23.9,10.5,189.6,84.48,169.54,90.3,22.8,-19.3,-81.765,70.6,39,2201.84,13,36,163,363.64,8.85000000000002,204,-2.78734,46.01652
