"GBIF_name" "SCIENTIFIC_NAME" "AUTHOR" "STATUS" "FAMILY" "ACCEPTED_SPECIES" "ACCEPTED_AUTHOR" "n_sci" "one_is_acc" "all_unresolved" "just_one_syn" "one_is_un" "non_vasc_typo" "SPECIES_NAME" "ITEX_name" "n_occ"
"Anastrophyllum minutum" "Anastrophyllum minutum" "(Schreb.) R.M. Schust." "Accepted" "Anastrophyllaceae" "Anastrophyllum minutum" "(Schreb.) R.M. Schust." 1 TRUE FALSE FALSE FALSE FALSE "Anastrophyllum minutum" "Anastrophyllum minutum" 4321
"Anastrophyllum saxicola" "Anastrophyllum saxicola" "(Schrad.) R.M. Schust." "Accepted" "Anastrophyllaceae" "Anastrophyllum saxicola" "(Schrad.) R.M. Schust." 1 TRUE FALSE FALSE FALSE FALSE "Anastrophyllum saxicola" "Anastrophyllum saxicola" 623
"Andromeda polifolia" "Andromeda polifolia" "L." "Accepted" "Ericaceae" "Andromeda polifolia" "L." 1 TRUE FALSE FALSE FALSE FALSE "Andromeda polifolia" "Andromeda polifolia" 150989
"Androsace chamaejasme" "Androsace chamaejasme" "Wulfen" "Accepted" "Primulaceae" "Androsace chamaejasme" "Wulfen" 3 TRUE FALSE FALSE TRUE FALSE "Androsace chamaejasme" "Androsace chamaejasme" 7946
"Androsace chamaejasme" "Androsace chamaejasme" "Wulfen ex Host" "Unresolved" "Primulaceae" "Androsace chamaejasme" "Wulfen ex Host" 3 TRUE FALSE FALSE TRUE FALSE "Androsace chamaejasme" "Androsace chamaejasme" 7946
"Androsace chamaejasme" "Androsace chamaejasme" "M.Bieb." "Synonym" "Primulaceae" "Androsace villosa" "L." 3 TRUE FALSE FALSE TRUE FALSE "Androsace chamaejasme" "Androsace chamaejasme" 7946
"Androsace obtusifolia" "Androsace obtusifolia" "All." "Accepted" "Primulaceae" "Androsace obtusifolia" "All." 2 TRUE FALSE FALSE FALSE FALSE "Androsace obtusifolia" "Androsace obtusifolia" 5969
"Androsace obtusifolia" "Androsace obtusifolia" "Willd. ex Ledeb." "Synonym" "Primulaceae" "Androsace chamaejasme" "Wulfen" 2 TRUE FALSE FALSE FALSE FALSE "Androsace obtusifolia" "Androsace obtusifolia" 5969
"Androsace ochotensis" "Douglasia ochotensis" "(Willd.) Hultén" "Synonym" "Primulaceae" "Androsace ochotensis" "Willd. ex Roem. & Schult." 1 FALSE FALSE TRUE FALSE FALSE "Androsace ochotensis" "Androsace ochotensis" 415
"Androsace septentrionalis" "Androsace septentrionalis" "L." "Accepted" "Primulaceae" "Androsace septentrionalis" "L." 1 TRUE FALSE FALSE FALSE FALSE "Androsace septentrionalis" "Androsace septentrionalis" 17082
"Anemone narcissiflora L." "Anemone narcissiflora" "L." "Accepted" "Ranunculaceae" "Anemone narcissiflora" "L." 2 TRUE FALSE FALSE FALSE FALSE "Anemone narcissiflora" "Anemone narcissiflora" 0
"Anemone narcissiflora L." "Anemone narcissiflora" "Hook. & Arn." "Synonym" "Ranunculaceae" "Anemone multifida" "Poir." 2 TRUE FALSE FALSE FALSE FALSE "Anemone narcissiflora" "Anemone narcissiflora" 0
"Anemone obtusiloba D.Don" "Anemone obtusiloba" "D.Don" "Accepted" "Ranunculaceae" "Anemone obtusiloba" "D.Don" 2 TRUE FALSE FALSE FALSE FALSE "Anemone obtusiloba" "Anemone obtusiloba" 0
"Anemone obtusiloba D.Don" "Anemone obtusiloba" "Lindl." "Synonym" "Ranunculaceae" "Anemone polyanthes" "D.Don" 2 TRUE FALSE FALSE FALSE FALSE "Anemone obtusiloba" "Anemone obtusiloba" 0
"Anemone parviflora" "Anemone parviflora" "Michx." "Accepted" "Ranunculaceae" "Anemone parviflora" "Michx." 1 TRUE FALSE FALSE FALSE FALSE "Anemone parviflora" "Anemone parviflora" 3464
"Anemone richardsonii" "Anemone richardsonii" "Hook." "Accepted" "Ranunculaceae" "Anemone richardsonii" "Hook." 1 TRUE FALSE FALSE FALSE FALSE "Anemone richardsonii" "Anemone richardsonii" 898
"Anemone speciosa" "Anemone speciosa" "Adams" "Synonym" "Ranunculaceae" "Anemone narcissiflora subsp. fasciculata" "(L.) Ziman & Fedor." 3 FALSE FALSE FALSE FALSE FALSE "Anemone speciosa" "Anemone speciosa" 7
"Anemone speciosa" "Anemone speciosa" "Adams ex Pritz." "Synonym" "Ranunculaceae" "Anemone narcissiflora subsp. fasciculata" "(L.) Ziman & Fedor." 3 FALSE FALSE FALSE FALSE FALSE "Anemone speciosa" "Anemone speciosa" 7
"Anemone speciosa" "Anemone speciosa" "Rupr." "Synonym" "Ranunculaceae" "Anemone narcissiflora subsp. fasciculata" "(L.) Ziman & Fedor." 3 FALSE FALSE FALSE FALSE FALSE "Anemone speciosa" "Anemone speciosa" 7
"Aneura pinguis" "Aneura pinguis" "(L.) Dumort." "Accepted" "Aneuraceae" "Aneura pinguis" "(L.) Dumort." 1 TRUE FALSE FALSE FALSE FALSE "Aneura pinguis" "Aneura pinguis" 31711
"Angelica saxatilis" "Angelica saxatilis" "Turcz. ex Ledeb." "Accepted" "Apiaceae" "Angelica saxatilis" "Turcz. ex Ledeb." 1 TRUE FALSE FALSE FALSE FALSE "Angelica saxatilis" "Angelica saxatilis" 444
"Antennaria alpina" "Antennaria alpina" "(L.) Gaertn." "Accepted" "Compositae" "Antennaria alpina" "(L.) Gaertn." 1 TRUE FALSE FALSE FALSE FALSE "Antennaria alpina" "Antennaria alpina" 8618
"Antennaria canescens" "Antennaria canescens" "(Lange) Malte" "Accepted" "Compositae" "Antennaria canescens" "(Lange) Malte" 1 TRUE FALSE FALSE FALSE FALSE "Antennaria canescens" "Antennaria canescens" 359
"Antennaria dioica" "Antennaria dioica" "(L.) Gaertn." "Accepted" "Compositae" "Antennaria dioica" "(L.) Gaertn." 1 TRUE FALSE FALSE FALSE FALSE "Antennaria dioica" "Antennaria dioica" 166504
"Antennaria friesiana" "Antennaria friesiana" "(Trautv.) Ekman" "Accepted" "Compositae" "Antennaria friesiana" "(Trautv.) Ekman" 1 TRUE FALSE FALSE FALSE FALSE "Antennaria friesiana" "Antennaria friesiana" 1087
"Antennaria lanata" "Antennaria lanata" "(Hook.) Greene" "Accepted" "Compositae" "Antennaria lanata" "(Hook.) Greene" 1 TRUE FALSE FALSE FALSE FALSE "Antennaria lanata" "Antennaria lanata" 2419
"Antennaria media" "Antennaria media" "Greene" "Accepted" "Compositae" "Antennaria media" "Greene" 1 TRUE FALSE FALSE FALSE FALSE "Antennaria media" "Antennaria media" 1280
"Antennaria monocephala" "Antennaria monocephala" "DC." "Accepted" "Compositae" "Antennaria monocephala" "DC." 2 TRUE FALSE FALSE FALSE FALSE "Antennaria monocephala" "Antennaria monocephala" 1331
"Antennaria monocephala" "Antennaria monocephala" "(Torr. & A.Gray) Greene" "Synonym" "Compositae" "Antennaria solitaria" "Rydb." 2 TRUE FALSE FALSE FALSE FALSE "Antennaria monocephala" "Antennaria monocephala" 1331
"Antennaria rosea" "Antennaria rosea" "(D.C.Eaton) Greene" "Accepted" "Compositae" "Antennaria rosea" "(D.C.Eaton) Greene" 1 TRUE FALSE FALSE FALSE FALSE "Antennaria rosea" "Antennaria rosea" 7474
"Anthelia julacea" "Anthelia julacea" "(L.) Dumort." "Accepted" "Antheliaceae" "Anthelia julacea" "(L.) Dumort." 1 TRUE FALSE FALSE FALSE FALSE "Anthelia julacea" "Anthelia julacea" 3121
"Anthelia juratzkana" "Anthelia juratzkana" "(Limpr.) Trevis." "Accepted" "Antheliaceae" "Anthelia juratzkana" "(Limpr.) Trevis." 1 TRUE FALSE FALSE FALSE FALSE "Anthelia juratzkana" "Anthelia juratzkana" 5931
"Anthemis cretica" "Anthemis cretica" "L." "Accepted" "Compositae" "Anthemis cretica" "L." 2 TRUE FALSE FALSE FALSE FALSE "Anthemis cretica" "Anthemis cretica" 4459
"Anthemis cretica" "Anthemis cretica" "(L.) Nyman" "Synonym" "Compositae" "Anthemis rigida" "(Sibth. & Sm.) Boiss. ex Heldr." 2 TRUE FALSE FALSE FALSE FALSE "Anthemis cretica" "Anthemis cretica" 4459
"Anthoxanthum odoratum" "Anthoxanthum odoratum" "L." "Accepted" "Poaceae" "Anthoxanthum odoratum" "L." 1 TRUE FALSE FALSE FALSE FALSE "Anthoxanthum odoratum" "Anthoxanthum odoratum" 887669
"Anthoxanthum odoratum subsp. nipponicum" "Anthoxanthum odoratum subsp. nipponicum" "(Honda) Tzvelev" "Accepted" "Poaceae" "Anthoxanthum odoratum subsp. nipponicum" "(Honda) Tzvelev" 1 TRUE FALSE FALSE FALSE FALSE "Anthoxanthum odoratum subsp. nipponicum" "Anthoxanthum odoratum subsp. nipponicum" 3935
"Anthyllis vulneraria" "Anthyllis vulneraria" "L." "Accepted" "Leguminosae" "Anthyllis vulneraria" "L." 1 TRUE FALSE FALSE FALSE FALSE "Anthyllis vulneraria" "Anthyllis vulneraria" 319665
"Aquilegia flabellata" "Aquilegia flabellata" "Siebold & Zucc." "Accepted" "Ranunculaceae" "Aquilegia flabellata" "Siebold & Zucc." 1 TRUE FALSE FALSE FALSE FALSE "Aquilegia flabellata" "Aquilegia flabellata" 840
"Arabidopsis lyrata subsp. petraea" "Arabis petraea" "(L.) Lam." "Synonym" "Brassicaceae" "Arabidopsis lyrata subsp. petraea" "(L.) O'Kane & Al-Shehbaz" 1 FALSE FALSE TRUE FALSE FALSE "Arabidopsis lyrata subsp. petraea" "Arabidopsis lyrata subsp. petraea" 1454
"Arabidopsis lyrata subsp. petraea" "Cardaminopsis petraea" "(L.) Hiitonen" "Synonym" "Brassicaceae" "Arabidopsis lyrata subsp. petraea" "(L.) O'Kane & Al-Shehbaz" 1 FALSE FALSE TRUE FALSE FALSE "Arabidopsis lyrata subsp. petraea" "Arabidopsis lyrata subsp. petraea" 1454
"Arabis alpina" "Arabis alpina" "L." "Accepted" "Brassicaceae" "Arabis alpina" "L." 4 TRUE FALSE FALSE FALSE FALSE "Arabis alpina" "Arabis alpina" 48841
"Arabis alpina" "Arabis alpina" "Georgi" "Synonym" "Brassicaceae" "Arabis caucasica" "Willd." 4 TRUE FALSE FALSE FALSE FALSE "Arabis alpina" "Arabis alpina" 48841
"Arabis alpina" "Arabis alpina" "Lucé" "Synonym" "Brassicaceae" "Arabis planisiliqua" "(Pers.) Rchb." 4 TRUE FALSE FALSE FALSE FALSE "Arabis alpina" "Arabis alpina" 48841
"Arabis alpina" "Arabis alpina" "Krock. ex Steud." "Synonym" "Brassicaceae" "Arabis sagittata" "(Bertol.) DC." 4 TRUE FALSE FALSE FALSE FALSE "Arabis alpina" "Arabis alpina" 48841
"Arabis caerulea" "Arabis caerulea" "(All.) Haenke" "Accepted" "Brassicaceae" "Arabis caerulea" "(All.) Haenke" 1 TRUE FALSE FALSE FALSE FALSE "Arabis caerulea" "Arabis caerulea" 3584
"Arabis soyeri subsp. subcoriacea" "Arabis subcoriacea" "Gren. ex Nyman" "Synonym" "Brassicaceae" "Arabis soyeri subsp. subcoriacea" "(Gren.) Breistr." 1 FALSE FALSE TRUE FALSE FALSE "Arabis soyeri subsp. subcoriacea" "Arabis soyeri subsp. subcoriacea" 4000
"Arctagrostis latifolia" "Arctagrostis latifolia" "(R.Br.) Griseb." "Accepted" "Poaceae" "Arctagrostis latifolia" "(R.Br.) Griseb." 1 TRUE FALSE FALSE FALSE FALSE "Arctagrostis latifolia" "Arctagrostis latifolia" 4054
"Arcterica nana" "Arcterica nana" "(Maxim.) Makino" "Unresolved" "Ericaceae" "Arcterica nana" "(Maxim.) Makino" 1 FALSE TRUE FALSE TRUE FALSE "Arcterica nana" "Arcterica nana" 352
"Arctophila fulva (Trin.) Andersson" "Arctophila fulva" "(Trin.) Andersson" "Accepted" "Poaceae" "Arctophila fulva" "(Trin.) Andersson" 1 TRUE FALSE FALSE FALSE FALSE "Arctophila fulva" "Arctophila fulva" 0
"Arctostaphylos uva-ursi" "Arctostaphylos uva-ursi" "(L.) Spreng." "Accepted" "Ericaceae" "Arctostaphylos uva-ursi" "(L.) Spreng." 1 TRUE FALSE FALSE FALSE FALSE "Arctostaphylos uva-ursi" "Arctostaphylos uva-ursi" 129920
"Arctous alpina" "Arctostaphylos alpina" "(L.) Spreng." "Synonym" "Ericaceae" "Arctous alpina" "(L.) Nied." 2 FALSE FALSE FALSE FALSE FALSE "Arctous alpina" "Arctous alpina" 23947
"Arctous alpina" "Arctostaphylos alpina" "Payot" "Synonym" "Ericaceae" "Comarostaphylis polifolia" "(Kunth) Zucc. ex Klotzsch" 2 FALSE FALSE FALSE FALSE FALSE "Arctous alpina" "Arctous alpina" 23947
"Arctous alpina" "Arctous alpina" "(L.) Nied." "Accepted" "Ericaceae" "Arctous alpina" "(L.) Nied." 1 TRUE FALSE FALSE FALSE FALSE "Arctous alpina" "Arctous alpina" 23947
"Arctous rubra" "Arctostaphylos rubra" "(Rehder & E.H.Wilson) Fernald" "Synonym" "Ericaceae" "Arctous rubra" "(Rehder & E.H.Wilson) Nakai" 1 FALSE FALSE TRUE FALSE FALSE "Arctous rubra" "Arctous rubra" 1228
"Arenaria biflora" "Arenaria biflora" "L." "Accepted" "Caryophyllaceae" "Arenaria biflora" "L." 2 TRUE FALSE FALSE FALSE FALSE "Arenaria biflora" "Arenaria biflora" 4327
"Arenaria biflora" "Arenaria biflora" "Griseb." "Synonym" "Caryophyllaceae" "Arenaria rotundifolia" "M.Bieb." 2 TRUE FALSE FALSE FALSE FALSE "Arenaria biflora" "Arenaria biflora" 4327
"Arenaria norvegica" "Arenaria norvegica" "Gunnerus" "Accepted" "Caryophyllaceae" "Arenaria norvegica" "Gunnerus" 1 TRUE FALSE FALSE FALSE FALSE "Arenaria norvegica" "Arenaria norvegica" 4184
"Arenaria pseudofrigida" "Arenaria pseudofrigida" "(Ostenf. & O.C.Dahl) Steffen" "Accepted" "Caryophyllaceae" "Arenaria pseudofrigida" "(Ostenf. & O.C.Dahl) Steffen" 2 TRUE FALSE FALSE FALSE FALSE "Arenaria pseudofrigida" "Arenaria pseudofrigida" 1143
"Arenaria pseudofrigida" "Arenaria pseudofrigida" "(Ostenf. & O.C. Dahl) Juz. ex Schischk. & Knorring" "Synonym" "Caryophyllaceae" "Arenaria pseudofrigida" "(Ostenf. & O.C.Dahl) Steffen" 2 TRUE FALSE FALSE FALSE FALSE "Arenaria pseudofrigida" "Arenaria pseudofrigida" 1143
