"usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","synonym","class","acceptedUsageKey","verbatim_name","verbatim_index","verbatim_genus","accepted_name"
5383319,"Poranthera microphylla Brongn.","Poranthera microphylla","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Malpighiales","Phyllanthaceae","Poranthera","Poranthera microphylla",6,7707728,220,1414,8807,3081052,5383319,FALSE,"Magnoliopsida",NA,"Poranthera microphylla",949,"Poranthera","Poranthera microphylla"
5290335,"Empodisma minus (Hook.f.) L.A.S.Johnson & D.F.Cutler","Empodisma minus","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Restionaceae","Empodisma","Empodisma minus",6,7707728,196,1369,4213,2706725,5290335,FALSE,"Liliopsida",NA,"Empodisma minus",950,"Empodisma","Empodisma minus"
3594291,"Scleranthus singuliflorus (F.Muell.) Mattf.","Scleranthus singuliflorus","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Caryophyllales","Caryophyllaceae","Scleranthus","Scleranthus singuliflorus",6,7707728,220,422,2518,3085893,3594291,FALSE,"Magnoliopsida",NA,"Scleranthus singuliflorus",952,"Scleranthus","Scleranthus singuliflorus"
7311490,"Pimelea axiflora F.Muell.","Pimelea axiflora","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Malvales","Thymelaeaceae","Pimelea","Pimelea axiflora",6,7707728,220,941,2428,7661118,7311490,FALSE,"Magnoliopsida",NA,"Pimelea axiflora",953,"Pimelea","Pimelea axiflora"
3569240,"Pimelea biflora N.A.Wakef.","Pimelea biflora","SPECIES","ACCEPTED",97,"FUZZY","Plantae","Tracheophyta","Malvales","Thymelaeaceae","Pimelea","Pimelea biflora",6,7707728,220,941,2428,7661118,3569240,FALSE,"Magnoliopsida",NA,"Pimelea biflorus",954,"Pimelea","Pimelea biflora"
7287042,"Grevillea australis R.Br.","Grevillea australis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Proteales","Proteaceae","Grevillea","Grevillea australis",6,7707728,220,400,2414,7940744,7287042,FALSE,"Magnoliopsida",NA,"Grevillea australis",955,"Grevillea","Grevillea australis"
5370755,"Acaena novae-zelandiae Kirk","Acaena novae-zelandiae","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Rosales","Rosaceae","Acaena","Acaena novae-zelandiae",6,7707728,220,691,5015,3031147,5370755,FALSE,"Magnoliopsida",NA,"Acaena novae-zelandiae",956,"Acaena","Acaena novae-zelandiae"
3093702,"Hypochaeris radicata L.","Hypochaeris radicata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Hypochaeris","Hypochaeris radicata",6,7707728,220,414,3065,3093681,3093702,FALSE,"Magnoliopsida",NA,"Hypochaeris radicata",957,"Hypochaeris","Hypochaeris radicata"
3788848,"Exocarpos nanus Hook.fil.","Exocarpos nanus","SPECIES","ACCEPTED",86,"FUZZY","Plantae","Tracheophyta","Santalales","Santalaceae","Exocarpos","Exocarpos nanus",6,7707728,220,934,6661,2889762,3788848,FALSE,"Magnoliopsida",NA,"Exocarpus nanus",959,"Exocarpus","Exocarpos nanus"
3895054,"Prostanthera cuneata Benth.","Prostanthera cuneata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Lamiaceae","Prostanthera","Prostanthera cuneata",6,7707728,220,408,2497,7306984,3895054,FALSE,"Magnoliopsida",NA,"Prostanthera cuneata",960,"Prostanthera","Prostanthera cuneata"
