"usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","class","acceptedUsageKey","synonym","verbatim_name","verbatim_index","verbatim_genus","accepted_name"
4113735,"Festuca soukupii Stancík","Festuca soukupii","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca soukupii",6,7707728,196,1369,3073,2704913,4113735,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
4112932,"Festuca swallenii E.B.Alexeev","Festuca swallenii","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca swallenii",6,7707728,196,1369,3073,2704913,4112932,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
4112306,"Festuca trabutii E.B.Alexeev","Festuca trabutii","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca trabutii",6,7707728,196,1369,3073,2704913,4112306,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
4112089,"Festuca tschatkalica E.B.Alexeev","Festuca tschatkalica","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca tschatkalica",6,7707728,196,1369,3073,2704913,4112089,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
8429514,"Festuca alpina Host","Festuca alpina","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca varia",6,7707728,196,1369,3073,2704913,4111486,"Liliopsida",4111486,NA,"Festuca Brachiphylla",7,"Festuca",NA
4127249,"Festuca brownii F.Muell.","Festuca brownii","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Diplachne","Diplachne fusca",6,7707728,196,1369,3073,6431523,8010581,"Liliopsida",7998563,NA,"Festuca Brachiphylla",7,"Festuca",NA
4127212,"Festuca bulbosa Biv.","Festuca bulbosa","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Patzkea","Patzkea coerulescens",6,7707728,196,1369,3073,7348838,7702039,"Liliopsida",7702039,NA,"Festuca Brachiphylla",7,"Festuca",NA
4126694,"Festuca cepacea Phil.","Festuca cepacea","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Melica","Melica cepacea",6,7707728,196,1369,3073,2703093,4120133,"Liliopsida",4120133,NA,"Festuca Brachiphylla",7,"Festuca",NA
8468494,"Festuca cynosuroides Balansa","Festuca cynosuroides","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca gypsophila",6,7707728,196,1369,3073,2704913,4123366,"Liliopsida",4123366,NA,"Festuca Brachiphylla",7,"Festuca",NA
4125480,"Festuca desvauxii Phil.","Festuca desvauxii","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca acanthophylla",6,7707728,196,1369,3073,2704913,4129691,"Liliopsida",9537668,NA,"Festuca Brachiphylla",7,"Festuca",NA
4124443,"Festuca fauriei Hack.","Festuca fauriei","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca japonica",6,7707728,196,1369,3073,2704913,4122236,"Liliopsida",4122236,NA,"Festuca Brachiphylla",7,"Festuca",NA
4124272,"Festuca flaccida Schur","Festuca flaccida","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca nitida",6,7707728,196,1369,3073,2704913,8879898,"Liliopsida",4119549,NA,"Festuca Brachiphylla",7,"Festuca",NA
4109865,"Festuca formosana Honda","Festuca formosana","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Lolium","Lolium formosanum",6,7707728,196,1369,3073,2706217,10806094,"Liliopsida",10806094,NA,"Festuca Brachiphylla",7,"Festuca",NA
5940868,"Festuca ganeschinii Drobow","Festuca ganeschinii","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca rupicola",6,7707728,196,1369,3073,2704913,4114708,"Liliopsida",4114708,NA,"Festuca Brachiphylla",7,"Festuca",NA
4146841,"Festuca gussonei Lojac.","Festuca gussonei","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca quadriflora",6,7707728,196,1369,3073,2704913,4116348,"Liliopsida",4116348,NA,"Festuca Brachiphylla",7,"Festuca",NA
4122910,"Festuca × hoiensis Prodan","Festuca hoiensis","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festulolium","Festulolium hercynicum",6,7707728,196,1369,3073,2703220,10802584,"Liliopsida",10802584,NA,"Festuca Brachiphylla",7,"Festuca",NA
5941103,"Festuca jenissejensis Reverd.","Festuca jenissejensis","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca pseudosulcata",6,7707728,196,1369,3073,2704913,4116749,"Liliopsida",4116749,NA,"Festuca Brachiphylla",7,"Festuca",NA
8685523,"Festuca letourneauxii Asch.","Festuca letourneauxii","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca letourneauxii",6,7707728,196,1369,3073,2704913,4121438,"Liliopsida",4121438,NA,"Festuca Brachiphylla",7,"Festuca",NA
4117629,"Festuca mazzettiana E.B.Alexeev","Festuca mazzettiana","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Lolium","Lolium mazzettianum",6,7707728,196,1369,3073,2706217,4129767,"Liliopsida",4129767,NA,"Festuca Brachiphylla",7,"Festuca",NA
8264399,"Festuca myuros Muhl.","Festuca myuros","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca myuros",6,7707728,196,1369,3073,2704913,2702727,"Liliopsida",2702727,NA,"Festuca Brachiphylla",7,"Festuca",NA
4119792,"Festuca nemorosa Latourr.","Festuca nemorosa","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca heterophylla",6,7707728,196,1369,3073,2704913,2704987,"Liliopsida",2704987,NA,"Festuca Brachiphylla",7,"Festuca",NA
2706239,"Festuca pratensis Huds.","Festuca pratensis","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Lolium","Lolium pratense",6,7707728,196,1369,3073,2706217,2706237,"Liliopsida",2706237,NA,"Festuca Brachiphylla",7,"Festuca",NA
11353094,"Festuca pubescens Link","Festuca pubescens","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca rubra",6,7707728,196,1369,3073,2704913,2704922,"Liliopsida",2704922,NA,"Festuca Brachiphylla",7,"Festuca",NA
4107344,"Festuca rhomboidea Kit.","Festuca rhomboidea","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca pulchella",6,7707728,196,1369,3073,2704913,4116614,"Liliopsida",4116614,NA,"Festuca Brachiphylla",7,"Festuca",NA
4114043,"Festuca serranoi Phil.","Festuca serranoi","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca purpurascens",6,7707728,196,1369,3073,2704913,4932325,"Liliopsida",4932325,NA,"Festuca Brachiphylla",7,"Festuca",NA
4113677,"Festuca spaniantha Phil.","Festuca spaniantha","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Poa","Poa secunda",6,7707728,196,1369,3073,2704173,2704276,"Liliopsida",4925431,NA,"Festuca Brachiphylla",7,"Festuca",NA
4113227,"Festuca subracemosa Schur","Festuca subracemosa","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca violacea",6,7707728,196,1369,3073,2704913,4111191,"Liliopsida",7226923,NA,"Festuca Brachiphylla",7,"Festuca",NA
4112711,"Festuca tenax Link","Festuca tenax","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Lolium","Lolium arundinaceum",6,7707728,196,1369,3073,2706217,2706231,"Liliopsida",7325327,NA,"Festuca Brachiphylla",7,"Festuca",NA
4111910,"Festuca uniglumis Aiton","Festuca uniglumis","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca bromoides",6,7707728,196,1369,3073,2704913,2702740,"Liliopsida",2702740,NA,"Festuca Brachiphylla",7,"Festuca",NA
8143770,"Festuca hirsuta Hegetschw.","Festuca hirsuta","SPECIES","DOUBTFUL",-77,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Festuca","Festuca hirsuta",6,7707728,196,1369,3073,2704913,8143770,"Liliopsida",NA,NA,"Festuca Brachiphylla",7,"Festuca",NA
