"SCIENTIFIC_NAME","AUTHOR","STATUS","FAMILY","ACCEPTED_SPECIES","ACCEPTED_AUTHOR","n_sci","one_is_acc","all_unresolved","just_one_syn","one_is_un","non_vasc_typo","SPECIES_NAME"
"Braya glabella","Richardson","Accepted","Brassicaceae","Braya glabella","Richardson",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Braya glabella"
"Braya purpurascens","(R.Br.) Bunge ex Ledeb.","Synonym","Brassicaceae","Braya glabella","Richardson",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Braya glabella"
"Bromus pumpellianus","Scribn.","Accepted","Poaceae","Bromus pumpellianus","Scribn.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Bromus pumpellianus"
"Bupleurum americanum","J.M.Coult. & Rose","Accepted","Apiaceae","Bupleurum americanum","J.M.Coult. & Rose",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Bupleurum americanum"
"Calamagrostis canadensis","(Michx.) P.Beauv.","Accepted","Poaceae","Calamagrostis canadensis","(Michx.) P.Beauv.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Calamagrostis canadensis"
"Calamagrostis canescens","(Weber) Roth","Accepted","Poaceae","Calamagrostis canescens","(Weber) Roth",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Calamagrostis canescens"
"Calamagrostis holmii","Lange","Accepted","Poaceae","Calamagrostis holmii","Lange",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Calamagrostis holmii"
"Calamagrostis inexpansa","A.Gray","Accepted","Poaceae","Calamagrostis inexpansa","A.Gray",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Calamagrostis inexpansa"
"Calamagrostis inexpansa","A.Gray ex Torr.","Synonym","Poaceae","Calamagrostis stricta","(Timm) Koeler",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Calamagrostis inexpansa"
"Calamagrostis lapponica","(Wahlenb.) Hartm.","Accepted","Poaceae","Calamagrostis lapponica","(Wahlenb.) Hartm.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Calamagrostis lapponica"
"Calamagrostis stricta","(Timm) Koeler","Accepted","Poaceae","Calamagrostis stricta","(Timm) Koeler",3,TRUE,FALSE,FALSE,TRUE,FALSE,"Calamagrostis stricta"
"Calamagrostis stricta","Hegetschw.","Unresolved","Poaceae","Calamagrostis stricta","Hegetschw.",3,TRUE,FALSE,FALSE,TRUE,FALSE,"Calamagrostis stricta"
"Calamagrostis stricta","Spreng.","Unresolved","Poaceae","Calamagrostis stricta","Spreng.",3,TRUE,FALSE,FALSE,TRUE,FALSE,"Calamagrostis stricta"
"Calluna vulgaris","(L.) Hull","Accepted","Ericaceae","Calluna vulgaris","(L.) Hull",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Calluna vulgaris"
"Caltha palustris","L.","Accepted","Ranunculaceae","Caltha palustris","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Caltha palustris"
"Cardamine bellidifolia","L.","Accepted","Brassicaceae","Cardamine bellidifolia","L.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Cardamine bellidifolia"
"Cardamine bellidifolia","All.","Synonym","Brassicaceae","Cardamine bellidifolia subsp. alpina","(Willd.) Jaer",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Cardamine bellidifolia"
"Cardamine digitata","Richardson","Accepted","Brassicaceae","Cardamine digitata","Richardson",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Cardamine digitata"
"Cardamine digitata","(Lam.) O.E.Schulz","Synonym","Brassicaceae","Cardamine pentaphyllos","(L.) Crantz",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Cardamine digitata"
"Cardamine hyperborea","O.E.Schulz","Synonym","Brassicaceae","Cardamine digitata","Richardson",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Cardamine digitata"
"Cardamine nymanii","Gand.","Synonym","Brassicaceae","Cardamine pratensis subsp. polemonioides","Rouy",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Cardamine pratensis subsp. polemonioides"
"Cardamine pratensis","L.","Accepted","Brassicaceae","Cardamine pratensis","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Cardamine pratensis"
"Cardaminopsis petraea","(L.) Hiitonen","Synonym","Brassicaceae","Arabidopsis lyrata subsp. petraea","(L.) O'Kane & Al-Shehbaz",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Arabidopsis lyrata subsp. petraea"
"Carex amblyorhyncha","V.I.Krecz.","Synonym","Cyperaceae","Carex marina","Dewey",1,FALSE,FALSE,TRUE,FALSE,FALSE,"Carex marina"
"Carex aquatilis","Wahlenb.","Accepted","Cyperaceae","Carex aquatilis","Wahlenb.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex aquatilis"
"Carex aquatilis","Ten.","Synonym","Cyperaceae","Carex microcarpa","Bertol. ex Moris",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex aquatilis"
"Carex atrofusca","Schkuhr","Accepted","Cyperaceae","Carex atrofusca","Schkuhr",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex atrofusca"
"Carex atrofusca","Steven","Synonym","Cyperaceae","Carex atrata","L.",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex atrofusca"
