Species;STI;STIsd
Helictotrichon pubescens;7.970830776;2.983109195
Malus sylvestris;9.108455686;2.447702901
Malva moschata;9.772914582;2.655957926
Paris quadrifolia;7.213496717;3.846446643
Scirpus sylvaticus;8.284916312;3.136269091
Tussilago farfara;7.975046312;3.926742798
Stachys sylvatica;8.485591087;3.153762836
Viburnum opulus;7.759663808;3.146507327
Gymnadenia conopsea;7.694518461;4.016694723
Scleranthus annuus;8.653698146;3.130731465
Alyssum alyssoides;9.602649127;3.032559431
Campanula patula;7.598032714;2.87603816
Vincetoxicum hirundinaria;9.405285298;2.636915752
Allium ursinum;9.128148584;2.514044336
Antennaria dioica;6.677246877;3.703222278
Convallaria majalis;7.688605858;3.478880681
Descurainia sophia;8.917273572;3.635068074
Hieracium pilosella;8.24174382;3.265053121
Oxalis acetosella;7.470065055;3.349527629
Rosa rubiginosa;9.316241184;2.34275731
Vinca minor;9.75373243;2.531764779
Eleocharis acicularis;7.3249892;3.675182424
Lathyrus linifolius;8.816791291;2.775177454
Phalaris arundinacea;7.760875628;3.444414079
Pimpinella saxifraga;8.12551555;3.369402553
Poa compressa;9.095078274;2.654488294
Asplenium ruta-muraria;9.917625528;2.647605733
Carex hirta;8.883858124;2.597096095
Centaurea jacea;8.031556136;3.019971205
Centaurea scabiosa;8.083780662;2.630762063
Fagus sylvatica;9.426033016;2.335736971
Galium uliginosum;6.77013554;3.666005959
Hieracium umbellatum;7.423653642;3.942294128
Tragopogon pratensis;8.586965849;2.787000544
Rosa pimpinellifolia;9.607644507;2.301060068
Stellaria holostea;8.913820847;2.559060975
Ulmus glabra;8.168453666;3.039566055
Cardamine impatiens;8.785665995;2.496215318
Laserpitium latifolium;9.261966083;2.583729457
Trollius europaeus;5.991024945;3.585915721
Thlaspi arvense;7.671387957;3.788621316
Myosotis stricta;8.05563312;2.591656597
Scrophularia nodosa;8.362972954;2.878817488
Stellaria nemorum;6.986618339;3.407912716
Campanula trachelium;8.903428165;2.643775627
Carlina vulgaris;9.36098597;2.348255562
Elymus caninus;7.266693795;3.692606938
Epilobium angustifolium;7.893438167;4.085718895
Poa pratensis;7.718224346;3.542457646
Scleranthus perennis;8.961969742;2.612647559
Viola rupestris;7.512128947;3.226691067
Senecio viscosus;8.365557809;2.707426107
Campanula glomerata;8.289483616;2.623168721
Symphytum officinale;8.918465605;2.447875379
Pedicularis palustris;6.596886793;3.642581113
Polygonatum multiflorum;8.961540589;2.703542928
Lamium album;8.153274507;2.421161626
Ranunculus lingua;8.331837665;2.551442845
Rumex hydrolapathum;8.566572678;2.116181267
Actaea spicata;7.158510988;3.495327061
Myrrhis odorata;8.474526079;2.477207675
Dianthus deltoides;7.7849655;3.341258934
Sanguisorba officinalis;8.696604389;2.548920358
Tilia platyphyllos;9.624368386;2.399816121
Aster novi belgii;8.522857766;1.962738489
Sonchus arvensis;7.581343227;3.650406544
Viola tricolor;7.295597515;3.304859185
Juncus gerardi;7.672573342;3.384141226
Sesleria caerulea;8.591816553;2.381466965
Digitalis purpurea;10.28309843;2.167272709
Rhynchospora fusca;7.151351993;3.373870575
Achillea millefolium;7.322265494;3.842585835
Angelica sylvestris;7.373474917;3.68748035
Armoracia rusticana;8.466852824;2.290230726
Bidens tripartita;8.785836575;2.958244497
Carex diandra;6.542770611;2.964442461
Carex lasiocarpa;5.446241422;3.392266921
Carex pallescens;7.505901847;3.461432403
Carex vesicaria;7.054983265;3.550771581
Crepis paludosa;6.902642355;3.242419464
Eriophorum vaginatum;6.506783391;3.624684229
Euonymus europaeus;9.322845574;2.269358419
Euphrasia nemorosa;7.605833522;2.536189501
Hesperis matronalis;8.828271394;2.472394675
Huperzia selago;6.080943703;3.515076794
Lathyrus pratensis;7.51127382;3.813062823
Luzula multiflora;7.417260848;3.890303926
Lysimachia minima;8.915570009;2.475597363
Lysimachia vulgaris;8.365061065;2.92518546
Matricaria discoidea;7.363841603;3.324786089
Mercurialis perennis;8.930059962;2.414641862
Myosotis scorpioides;8.334794196;3.055950204
Myrica gale;6.381746278;3.453833971
Persicaria amphibia;8.319382123;2.740051411
Rhamnus cathartica;8.907340794;2.455023004
Ribes nigrum;6.89772353;2.712859788
Rorippa palustris;7.283180765;3.345208674
Rosa mollis;6.21811373;2.94860227
Solidago virgaurea;7.244810632;3.791344706
Sparganium angustifolium;3.880420979;3.592655306
Trifolium medium;8.203475645;2.680069996
Vaccinium myrtillus;6.682994107;3.685882184
Vicia cracca;7.728749531;4.076437845
Vicia sepium;7.748468989;3.492266267
Vicia sylvatica;7.062124688;2.63084891
Viola palustris;5.630444275;3.591329285
Vaccinium oxycoccos;5.853842201;3.154507448
Salix pentandra;6.942255197;3.229616747
Blysmus rufus;6.072058984;2.777803558
Achillea ptarmica;6.925245851;3.542179151
Dactylorhiza maculata;7.201832785;3.883829316
Epilobium palustre;6.736855797;3.684024815
Galeopsis bifida;7.196150125;3.475709838
Galeopsis speciosa;7.08876883;3.440575002
Lathyrus palustris;7.466244036;2.43084362
Ligusticum scoticum;4.101739099;3.314401587
Listera cordata;5.502793956;3.783429956
Neottia ovata;8.147702303;3.469096802
Potamogeton perfoliatus;7.233249012;3.535299365
Ranunculus auricomus;7.096921716;3.716055977
Thelypteris palustris;8.771814813;2.745871676
Carex elata;8.725616842;2.328537353
Trifolium hybridum;7.729142336;3.125701005
Aegopodium podagraria;8.185497501;2.474591477
Hypericum maculatum;7.256648851;3.043060562
Platanthera bifolia;7.717878006;3.510679473
Platanthera chlorantha;8.998953388;2.571916023
Potentilla fruticosa;9.243008186;1.961327801
Andromeda polifolia;5.256766302;3.398974149
Lactuca muralis;8.807951826;3.033075455
Thalictrum flavum;7.841260512;3.183098136
Erysimum cheiranthoides;7.483582201;3.379523288
